Relaxation Parameter A,Probability P_f,E_avg,E_std,E_min
5000.0,0.1015625,82361.63150910153,5116.483468373296,67790.88751756249
5050.0,0.046875,82341.63965932177,4955.113754135996,69548.88312910497
5100.0,0.046875,83890.74265765626,5255.248955652855,70851.18909719135
5150.0,0.1484375,84740.6013720545,5129.399434674083,73852.4729880144
5200.0,0.1171875,84776.60450069018,5542.797887109666,72056.831001196
5250.0,0.125,85706.95808214972,5479.795034869045,74294.33552411641
5300.0,0.171875,84953.93697082964,5646.391597991336,69858.80606271006
5350.0,0.1953125,86147.23711698137,5028.207555991615,76336.26047002795
5400.0,0.15625,86431.46580012674,6609.421660484461,67111.19078870869
5450.0,0.140625,87369.4477814861,5924.854454635967,73153.24174323323
5500.0,0.1875,87481.085977215,5949.991746378874,73339.99616875037
5550.0,0.15625,88740.42154073104,6660.984965719359,70894.268081777
5600.0,0.265625,89046.57338517746,5980.905938272448,72220.2139254479
5650.0,0.2734375,89749.92341706267,5561.523618126761,76038.0756251362
5700.0,0.21875,89798.42211265865,5479.989474514263,75827.57775386068
5750.0,0.28125,90725.90430781356,6431.931564802113,75234.25744660187
5800.0,0.25,91397.63171776453,6626.317135762001,76080.84504634573
5850.0,0.3359375,91136.67598941445,5878.29433767539,77883.54142142099
5900.0,0.328125,90565.36874128625,6243.29384613295,73228.07528091932
5950.0,0.359375,92215.39245940374,6619.238690050625,72339.77151186392
6000.0,0.359375,92271.54645578947,7570.994250892878,66154.76076230424
6050.0,0.3359375,92788.14234016788,6725.223979771998,77529.81040897872
6100.0,0.3515625,93962.26294670085,6689.465071898306,73891.57790030417
6150.0,0.3828125,93709.24412227506,6398.218681567898,76855.11498666205
6200.0,0.453125,95030.6944985922,6501.415070962405,80518.88616007962
6250.0,0.5234375,95504.21142642965,6937.166293037591,73923.25838043279
6300.0,0.4609375,95217.7372925379,6950.517907581764,75244.50232373027
6350.0,0.5546875,94677.93724455238,7152.275791972429,75290.33034020883
6400.0,0.515625,96453.12136494635,6937.676309919941,76796.71595999098
6450.0,0.5,96727.14485471744,6907.480387845411,72442.40955037886
6500.0,0.515625,96759.75422514774,6865.0965513457195,76040.5812562278
6550.0,0.6328125,97964.80906899058,8652.247037544486,77905.70057945477
6600.0,0.546875,97262.35409247254,7587.157244968542,79647.21876571933
6650.0,0.640625,96732.62213009078,7789.02298194641,74782.36277838773
6700.0,0.5625,98903.20983811193,7149.504461974649,76252.61611087422
6750.0,0.5859375,98804.68406132366,7330.845736273243,78737.25268061948
6800.0,0.609375,100027.84854206083,7625.869728065857,77014.82668558887
6850.0,0.625,100922.3456495468,7753.6590342084955,77865.22384004272
6900.0,0.6640625,101113.38740786863,7580.921918687567,77981.92399329494
6950.0,0.6796875,101202.84520065843,6995.253886325133,82547.11602184764
7000.0,0.6484375,101873.0595745626,7921.545485123645,86326.1071250108
7050.0,0.734375,101196.48537583786,8315.671520024225,78033.52159815049
7100.0,0.6796875,102870.18571387089,8473.142463847355,79504.6621918513
7150.0,0.7890625,103836.24755897677,7989.712729692953,85798.88910637819
7200.0,0.75,104219.11709312514,8402.81402600748,80391.00186102832
7250.0,0.71875,102506.8502066185,7872.124789789508,83910.29229261418
7300.0,0.7578125,105029.79894381257,8431.158109688915,83318.36253211088
7350.0,0.7421875,104669.46592752432,8710.521408125705,81886.07011299231
7400.0,0.7265625,103000.20169410076,8846.302396426268,83411.6107227609
7450.0,0.8671875,103968.72790002833,9482.356021800602,78755.45005331241
7500.0,0.7734375,105446.942935841,8688.33000097954,83711.02605278767
7550.0,0.7734375,106199.3916802244,8668.639538792575,85058.16149232519
7600.0,0.78125,106888.08149507684,9179.302354819521,84528.52890208113
7650.0,0.8125,107902.13783690552,9055.285238378938,90205.89794081054
7700.0,0.796875,107430.53973472552,9097.178226651267,77094.03733134078
7750.0,0.8828125,108985.95012339902,9314.36649937897,81880.70162212243
7800.0,0.8359375,108101.9260127834,8861.085584780387,81690.38680432807
7850.0,0.84375,107076.11346079675,8688.80249434599,87142.11930157768
7900.0,0.84375,109565.56126830506,8834.496411360247,88998.60513704445
7950.0,0.84375,108161.01070789313,9439.2314217859,86721.5614411076
8000.0,0.8359375,109035.66916677075,9302.361962073226,88799.93640074012
8050.0,0.828125,109125.79086932924,9564.521932432037,79435.43052806146
8100.0,0.8671875,110268.17292821336,9406.76797144881,87429.07795493607
8150.0,0.859375,109270.79491353704,9527.41695629603,84064.01702728611
8200.0,0.859375,111640.94544863002,9673.704773650248,91945.34008460777
8250.0,0.8671875,111392.1585378492,8829.824403586465,88968.80674194812
8300.0,0.90625,110939.90046787179,9103.62176780534,87594.09102675517
8350.0,0.921875,112785.98117184742,10604.962590924455,81443.00068418076
8400.0,0.9140625,112951.78973320044,9097.273392764933,89054.98590695101
8450.0,0.890625,113288.39992556417,9697.642556184108,87544.55117571313
8500.0,0.953125,111466.42218259418,9871.393927935762,86706.39528282266
8550.0,0.921875,115102.2136742043,11049.235063427272,87932.04359548236
8600.0,0.90625,113344.0920041825,10112.676153272201,85644.38391830126
8650.0,0.8984375,113602.49179483627,10608.94914382912,92648.89737779339
8700.0,0.9375,112670.01749156826,11099.627060879151,83281.09673200035
8750.0,0.90625,114873.98011952723,10442.558703548386,92000.94328171073
8800.0,0.9453125,114975.39664517409,9813.7244263491,90225.60827979242
8850.0,0.9296875,114080.8360870549,10419.832158166811,87087.70645304071
8900.0,0.9375,115842.51454561266,10849.604462664,88881.5161417675
8950.0,0.9453125,115752.177576577,10262.099900431374,88648.26246324956
9000.0,0.921875,116248.66443434259,8711.943583703236,96764.50762525329
9050.0,0.9765625,115157.89736826162,10185.167048439978,85186.98841085343
9100.0,0.953125,115744.85158185766,11173.576976674212,86458.05656071194
9150.0,0.9765625,118461.55166723252,9704.230157186257,91039.24703669955
9200.0,0.984375,116711.04268210189,10393.27973709138,87472.08881418552
9250.0,0.984375,117534.19476888225,10200.281219830475,93213.59976641636
9300.0,0.96875,117191.42418409495,9856.80563000598,96765.91665036918
9350.0,0.9609375,117830.7674953247,9116.23112586605,95022.42617066915
9400.0,0.9765625,118371.29685301619,11324.286266073774,83552.42158746981
9450.0,0.984375,118695.05825925051,10215.659829003658,91086.39582802512
9500.0,0.96875,119353.69746629606,10363.586833950945,88295.4616056162
9550.0,0.984375,118115.75898826907,10777.079927446126,87941.75980791193
9600.0,0.984375,118668.58255972415,10448.559744561066,90778.30828678166
9650.0,0.9921875,118483.1410544673,10246.163081095572,84865.0421852863
9700.0,0.9765625,119988.70677561635,10308.463416840435,97105.12156732508
9750.0,0.984375,118466.76084481562,10699.558039402267,87724.24168109556
9800.0,0.9921875,119699.74947231467,11835.233419229242,96137.16679725231
9850.0,0.9921875,120510.79227362786,11392.46937844197,94092.83566059929
9900.0,0.9921875,121232.07191157248,11685.771165183645,90557.04849006434
9950.0,0.9921875,118997.63298376635,11716.521590624798,93665.51713266014
