Relaxation Parameter A,Probability P_f,E_avg,E_std,E_min
5000.0,0.0859375,83935.9135087967,5573.367861300547,70221.2196514919
5050.0,0.1171875,84287.57187358664,4586.847478640233,74692.35918946232
5100.0,0.078125,84405.17473168198,5307.460327269999,73515.28090856044
5150.0,0.1171875,85648.60366734248,5561.324251662392,73981.11800506574
5200.0,0.1328125,86435.39891580724,5883.594545607046,68850.28634917486
5250.0,0.1015625,85290.44677168697,5568.466561434257,70724.81373363174
5300.0,0.203125,86749.66532465075,5744.019844288702,72496.34538129423
5350.0,0.1328125,87834.54725215552,5422.677667880157,75154.32896315178
5400.0,0.1875,88278.4437395197,6138.320287694108,67017.65224967588
5450.0,0.1875,87760.50891908811,5688.516631108325,71572.49503266063
5500.0,0.1875,87937.25571015642,5638.124439057842,73830.22394002613
5550.0,0.2578125,88591.98402172736,5914.20562600096,72671.90634891525
5600.0,0.234375,89399.02816858992,5391.954696263246,73323.21471877967
5650.0,0.21875,88922.21562537624,5619.631790037549,75699.96121172479
5700.0,0.2578125,89966.56003681026,6460.446853344535,76461.54358689662
5750.0,0.328125,89612.51136960356,6467.394833690035,75340.90872610029
5800.0,0.2734375,91923.57684806478,6914.5839445815345,72471.5358672642
5850.0,0.3125,91309.96085537817,5713.514755044097,75014.42996500945
5900.0,0.296875,92759.28380684981,6511.033474522464,76164.50742337108
5950.0,0.390625,92869.90210716389,5996.421459269056,76566.03729573404
6000.0,0.421875,92278.72134307507,6046.434104678454,76928.04188720183
6050.0,0.3359375,93672.61352391518,6497.179262193958,75721.94035058067
6100.0,0.40625,92746.39289114435,6637.093637737102,75701.89370395511
6150.0,0.390625,94120.2575740083,6556.853591225165,75364.53074724774
6200.0,0.453125,93027.50268620483,6623.613477544319,71396.58321812027
6250.0,0.3671875,95194.19064615994,6215.984403254616,76736.51814764668
6300.0,0.4296875,95140.90598651918,6298.6440246646935,77424.44114490156
6350.0,0.421875,96414.17597335872,6604.657018324185,81432.14368275926
6400.0,0.5390625,95549.82724867368,6486.265255585405,79969.2454943842
6450.0,0.4609375,96077.20765392171,7201.518072381663,82699.63006615418
6500.0,0.53125,97838.01523925495,6461.744760571181,84819.42181512003
6550.0,0.5,97751.49356381585,7849.949172794416,80794.56880837237
6600.0,0.53125,98049.58247617287,6708.951956057204,80228.4559014272
6650.0,0.5390625,97527.38609797588,6567.2676394926175,78348.78001399589
6700.0,0.4921875,98323.25664899853,6895.7726396967955,82863.98063912662
6750.0,0.5078125,98677.16445534359,7671.163834272984,80728.05459850759
6800.0,0.5390625,99425.37016111818,6781.1821164459925,84149.01428595273
6850.0,0.59375,99136.24823623773,6540.000766374195,82571.15881457092
6900.0,0.6328125,100257.92073140963,7974.331731338324,75779.32714603335
6950.0,0.671875,100395.97380753829,7915.9895619139825,79825.34407645755
7000.0,0.65625,100747.15035420498,7405.372192075094,78058.36319643655
7050.0,0.65625,100913.28681004056,7590.759868658797,85795.8535770126
7100.0,0.7421875,102433.63253881098,7406.242460103649,81248.97871527955
7150.0,0.59375,102839.57350495947,7545.568227095208,86418.30542836152
7200.0,0.71875,102337.7115407128,7468.589553316299,84876.96445274726
7250.0,0.65625,101778.57104313424,7476.086366945181,84644.54369288514
7300.0,0.6953125,103904.54527262645,7320.1309211645885,85868.55310184654
7350.0,0.7265625,102728.22917514089,7511.8985624474035,84929.08870145609
7400.0,0.7109375,102498.68146564718,7450.580679108104,80805.87581969675
7450.0,0.75,103477.11002568067,8537.251452552828,75917.33417501126
7500.0,0.765625,103818.28886098937,7473.731308177539,86011.00668282778
7550.0,0.859375,104860.93938160867,7807.400749478529,88515.68950838473
7600.0,0.7421875,104732.0128058091,7476.49916526255,86325.78781074611
7650.0,0.8046875,104156.02939687096,7723.171118336329,82954.45672434388
7700.0,0.796875,104233.84690520393,7632.040080393659,83356.38499457319
7750.0,0.7734375,107132.4054849252,7666.567884597948,86842.44848279213
7800.0,0.7890625,106258.55312118311,9273.513985485586,81119.40173786716
7850.0,0.84375,105316.15813461793,8088.146125608281,83984.21427325497
7900.0,0.84375,106680.6074132789,8317.80841883256,82394.18049675808
7950.0,0.84375,106838.87709296067,7589.448610972048,90727.57269490091
8000.0,0.875,107562.32595906877,7886.348893521744,91726.02882311476
8050.0,0.859375,107926.1380463952,8303.89278814409,90796.7527910865
8100.0,0.84375,107046.12334489562,8767.274480954053,82629.03516115359
8150.0,0.90625,108799.13781289382,9124.668554460843,89782.52120800689
8200.0,0.8671875,107012.0663158574,8538.565472839475,83795.19948788692
8250.0,0.890625,108577.76022849232,8188.729819479726,86580.44341215398
8300.0,0.921875,108590.56145816474,9038.758710334632,81214.30282273656
8350.0,0.8828125,108380.29994788385,8981.788401067997,88804.67998026148
8400.0,0.875,108321.07717854739,7905.859927702462,90292.50434924976
8450.0,0.8984375,108779.45971364134,9137.08528777733,86392.90082024719
8500.0,0.8359375,111088.69946041005,9175.758355504235,89112.73882306518
8550.0,0.9296875,109306.82504785305,8204.372396477553,89603.97567398282
8600.0,0.9296875,111055.40693407423,8243.36998853673,92168.91178876732
8650.0,0.9375,110295.14430119075,8172.179938232261,92840.32560019189
8700.0,0.9375,109841.88374831203,8668.925293026463,86868.56886955607
8750.0,0.953125,110795.2323278544,10107.552363571733,79754.48413836898
8800.0,0.9375,111474.28923846988,8974.871061995984,88943.91093046783
8850.0,0.9609375,110218.63591120981,9897.992752840126,83465.97458989103
8900.0,0.96875,111054.4246782947,9149.363991167324,87708.6640534401
8950.0,0.9375,110752.66590456154,9558.768811775337,86339.79374049534
9000.0,0.9296875,111459.6220324115,8781.708221230312,85686.29336390283
9050.0,0.984375,111258.47603675097,8765.246977605442,86558.28941343055
9100.0,0.953125,112595.73241983425,9172.832429360857,93212.14126018941
9150.0,0.9609375,112485.22369724812,9626.426173404181,90642.59090636979
9200.0,0.984375,111878.64439441392,10183.77026918247,85222.88044772478
9250.0,0.9609375,113925.68748336134,9317.589409561751,90832.74731535371
9300.0,0.984375,112130.48837400609,9018.731634617965,86005.49862221594
9350.0,0.984375,112346.8114210658,9519.057017011548,87932.35196871223
9400.0,0.984375,111969.06381350974,9902.3719064898,85499.14824865502
9450.0,0.96875,113140.33006599113,9287.366494882823,79412.71607513097
9500.0,0.96875,114232.94527505209,8989.014318087724,92709.6820600066
9550.0,0.96875,112064.0730871173,10359.241879046329,86037.01225637773
9600.0,0.984375,114832.13472782917,9638.273619370475,93684.1000208566
9650.0,0.9609375,114803.04553884988,8262.41537947127,94965.79916736757
9700.0,0.9609375,114109.57656655226,9913.704282934417,92201.24279098783
9750.0,0.984375,114935.30564917992,8845.943849645462,92279.84451377048
9800.0,0.984375,114708.5985706667,10245.572331991196,89643.81069494592
9850.0,0.9765625,115529.62950295185,8573.842383232402,98450.95731861837
9900.0,0.984375,115944.0163956531,10696.633305139143,87874.63480504899
9950.0,0.984375,114463.74732145744,9997.376288144931,87229.0584437609
