Relaxation Parameter A,Probability P_f,E_avg,E_std,E_min
500.0,0.03125,8233.05419569656,502.67957384602414,7115.4411282754845
505.0,0.0234375,8300.78913463635,572.4673977370852,6837.371914517396
510.0,0.0390625,8381.667902109486,561.8884628520492,6749.48836542877
515.0,0.09375,8327.600365750528,591.5498936562916,6705.187358076255
520.0,0.1171875,8375.539128215041,543.1946537768433,7271.609976465086
525.0,0.1171875,8512.013140249352,602.4464351539623,6811.676880987983
530.0,0.1328125,8402.667823179556,542.2126967611431,6824.966759147432
535.0,0.15625,8560.84916822848,606.4830745078928,6798.273063774923
540.0,0.125,8661.023302094178,632.0096736736846,7194.940532083536
545.0,0.1796875,8732.33827073603,648.1023484901187,7275.025255073888
550.0,0.1796875,8660.39631190011,554.4186126378132,7241.673021488688
555.0,0.1484375,8723.433464247226,678.4672851965781,6721.061796737096
560.0,0.1875,8741.826041975148,660.0949681748298,7143.626897092512
565.0,0.1875,8908.397484697096,617.5273722429329,7195.741179958848
570.0,0.2578125,8860.323015556507,596.2774782890392,7163.064675657974
575.0,0.2265625,9001.02625025528,619.6993773856137,7547.221567127679
580.0,0.2109375,8918.69211456033,662.025663452769,7047.327441751146
585.0,0.2734375,9090.917452222237,649.5334941880953,7289.2179132866
590.0,0.25,9166.400427613158,741.6107488890699,7582.515809361652
595.0,0.265625,9128.919498341571,649.0358652577585,7583.680161906061
600.0,0.2265625,9162.990990328717,652.2296159113083,7586.69144927997
605.0,0.25,9175.059330280137,688.2945175736306,6932.135549919025
610.0,0.3359375,9215.011032121105,703.0892183788083,7293.757264689961
615.0,0.2890625,9265.362450800383,684.6590015100634,7403.684643103916
620.0,0.3828125,9284.723576816896,687.935663637984,7316.615215566428
625.0,0.4140625,9573.147481662574,782.3603997405808,7834.70679085681
630.0,0.3828125,9548.339022000675,699.9014420531652,8010.444695396476
635.0,0.4921875,9485.358243969004,609.5476803580481,7903.227442296789
640.0,0.484375,9542.91087396004,691.8796587067251,7944.092141475659
645.0,0.46875,9548.748644046073,787.8584367396276,7310.201838449473
650.0,0.421875,9754.592973427334,713.979073150914,7962.103984150257
655.0,0.4609375,9665.187195621194,765.1165176167243,8124.65227074812
660.0,0.4296875,9783.446252189995,805.1446742968233,7363.20507255122
665.0,0.46875,9703.339843228745,696.9698396705887,8211.633570824692
670.0,0.5078125,9742.528702845768,842.9812795265979,7467.93710193154
675.0,0.5859375,9824.155066162546,810.4262900768189,7941.90176696733
680.0,0.53125,9991.2056493562,820.2690362344736,7774.736765745445
685.0,0.578125,9880.659108306545,793.9634986475096,8135.904065830633
690.0,0.5625,10050.502973254981,771.0889119038908,7683.936678628612
695.0,0.59375,9988.481603518101,720.5660078285761,8353.30340323766
700.0,0.5859375,9971.205053870755,764.8751169584593,7679.578146469052
705.0,0.6171875,10107.320682580003,864.2621165853817,7303.706195646133
710.0,0.5546875,10186.42468159265,863.6882426542162,7843.002029180912
715.0,0.6796875,10216.12677199877,821.5492457054676,8366.7505581062
720.0,0.703125,10201.621839551472,835.7610039462768,7878.555678662895
725.0,0.6171875,10245.1874563663,811.0774191527938,7726.397399050882
730.0,0.734375,10324.832252155406,814.7313647999073,8406.217884929916
735.0,0.640625,10353.598306419053,842.3454847923832,8424.208581083505
740.0,0.75,10455.219111656888,993.1442451206425,8254.530140449206
745.0,0.7578125,10448.352344389019,892.027732719804,8505.824950666654
750.0,0.765625,10572.510836347037,770.6437758313973,8758.150967499343
755.0,0.6875,10563.626328445423,801.9491840804519,8601.74855421755
760.0,0.7734375,10523.89780869135,798.5432742264488,8750.10362083005
765.0,0.765625,10610.06096311675,938.6080308665003,8389.754787240257
770.0,0.75,10657.760185784757,800.7376846613428,8613.453702199673
775.0,0.6875,10654.646469726622,946.558852151237,7949.502010422686
780.0,0.8203125,10863.480259966178,835.5916870587305,8939.457715660043
785.0,0.703125,10678.799940259678,997.4726654893543,7918.143889657913
790.0,0.7421875,10719.091176414575,856.0829203676425,7390.013493151244
795.0,0.8125,10747.243059872118,902.5127098947098,7733.37202038306
800.0,0.84375,10927.858219551175,988.3686672283003,8061.866076718317
805.0,0.8046875,10987.363699683177,879.3470770335606,8173.62938878093
810.0,0.8203125,11008.803822976606,835.5315129055399,9313.520031100583
815.0,0.859375,10906.52013898497,921.9576991526986,8038.44205878576
820.0,0.8125,11052.857194341213,817.3703327786759,8704.399479099513
825.0,0.8203125,11065.197692424683,940.460316203819,8395.725331274538
830.0,0.875,11089.782375012828,879.3383330670849,9081.333271405623
835.0,0.8671875,10956.044406720423,958.3084831800253,8698.249566058352
840.0,0.8671875,11152.554271482348,1006.2159963378735,8278.276007627952
845.0,0.8671875,11075.135747637147,937.9513940741206,8627.078819282367
850.0,0.8359375,11116.810727504713,1012.3219665695223,8477.492418415357
855.0,0.890625,11300.719365841102,1046.5523769757247,8978.6909844529
860.0,0.8984375,11311.779431103796,1037.3292518619876,8084.331497159896
865.0,0.890625,11184.358410005585,1017.3377564906401,8110.696254043512
870.0,0.9140625,11095.664473796065,1081.3560865869545,8306.090810953232
875.0,0.890625,11516.433268101371,890.9649929014785,9541.600859676284
880.0,0.90625,11478.810189971218,1029.1028886381282,8381.09637974012
885.0,0.859375,11534.093190690079,1017.4185966010024,8554.649567322856
890.0,0.9296875,11394.303647204672,936.8496263700853,9072.561878480199
895.0,0.90625,11419.465639801263,990.0852159851245,8923.717443102105
900.0,0.9453125,11623.691140177409,908.95920300476,9186.756290752695
905.0,0.9453125,11583.743993321988,1107.4500524817468,9440.551379631172
910.0,0.9609375,11462.23622951105,1083.8598511953217,8768.397350798346
915.0,0.984375,11561.86518075834,1052.3672348726159,8851.679862899138
920.0,0.953125,11788.190793965618,888.2991285111448,9690.996497597742
925.0,0.9140625,11650.828638630228,884.2131485354687,9185.722407822846
930.0,0.9375,11470.749922251629,1140.1829901539434,8481.853018959773
935.0,0.9140625,11607.22746421289,1058.1309812895786,8311.21248824412
940.0,0.9296875,11617.179557543412,1032.4241514859505,9173.558890227767
945.0,0.9921875,11763.629570366204,1005.575829496368,8974.936847293582
950.0,0.9765625,11602.399997041617,998.8368375404873,8764.960567339433
955.0,0.9609375,11874.179021850267,1066.344077193327,9686.132835360026
960.0,0.953125,11726.2333935238,984.0531463098981,9257.669928886717
965.0,0.9609375,11926.139337074928,1149.292207372764,9283.828395609751
970.0,0.984375,11654.083789319071,1048.2340203363933,8121.103176492616
975.0,0.984375,11818.61287897135,1136.7053723951724,7854.6974616547595
980.0,0.9921875,11945.522975711758,961.171662017256,8547.347379245592
985.0,0.984375,11897.826983220037,1103.2350636263247,9410.04998071448
