Relaxation Parameter A,Probability P_f,E_avg,E_std,E_min
500.0,0.0703125,8495.43136300059,556.0761570105097,6775.798549420564
505.0,0.0390625,8574.21657327056,501.3186375693284,7080.559515585373
510.0,0.078125,8565.127480210755,548.9489378137354,6777.048613484738
515.0,0.046875,8711.59224528227,598.880472032825,7108.747919449059
520.0,0.0703125,8719.650581127262,539.6686913330944,7433.550510026362
525.0,0.0859375,8760.00955961007,584.7671050409751,6923.61940143981
530.0,0.1171875,8948.478027714304,594.3553586989588,7037.434166864037
535.0,0.1171875,8917.36114935598,585.6632708113543,7640.1241341616915
540.0,0.1015625,8905.129970842634,503.5913101019421,7564.687325443043
545.0,0.140625,9012.05433175029,561.6511572675065,7448.098684769648
550.0,0.1015625,9051.727479007135,595.1569871866405,7731.642091596528
555.0,0.203125,9042.969944975375,527.5963835790963,7877.261254564357
560.0,0.140625,9142.02704480618,541.3555355428848,7229.041871302601
565.0,0.1640625,9241.008499281286,551.3622883633324,7789.3089680992925
570.0,0.125,9303.919169790708,605.0401461411353,7785.436877833032
575.0,0.1484375,9210.397802249932,610.8532264131571,7256.557818348956
580.0,0.234375,9242.456767738755,641.4706884891539,7487.040924757723
585.0,0.140625,9356.74464713725,651.6354457509474,7740.771909281066
590.0,0.1953125,9453.290690053313,637.4292378682513,7428.977038761492
595.0,0.2109375,9417.335511116344,609.384871537623,8088.284776626384
600.0,0.234375,9529.653733982708,644.5546023839174,7618.158083897048
605.0,0.234375,9519.076700409774,648.161474042283,7771.262970895688
610.0,0.2265625,9715.886239872476,608.0966873533437,8126.998073953764
615.0,0.34375,9701.566554192566,637.1344560614123,8187.275074226345
620.0,0.3515625,9713.2436976527,649.2206538054049,8113.943708930201
625.0,0.28125,9715.876179758921,623.2904316112131,8092.792625231661
630.0,0.3125,9711.604758748354,679.5102555109978,7651.017985226368
635.0,0.2890625,9865.667302181178,639.6768422176093,8158.741072175675
640.0,0.28125,9884.104985812264,698.610151773952,8159.339950178852
645.0,0.3671875,9930.920370715447,687.1151144291866,8556.018627330406
650.0,0.4375,9993.664641569498,703.0377940716893,7969.665026657782
655.0,0.34375,10067.811524263474,702.0986879619584,7759.798904200139
660.0,0.3984375,10021.804931936296,697.8884454526504,8467.93613622001
665.0,0.4609375,10110.805228600106,660.180940852408,8557.45742498868
670.0,0.4296875,10162.804685562429,656.0137403422003,8396.657308349826
675.0,0.484375,10200.79737242105,710.2800942675754,7922.306457576466
680.0,0.515625,10168.490999198813,701.3298580084802,7741.50719003722
685.0,0.4453125,10229.690088331354,733.9530128586678,8450.257334076276
690.0,0.5390625,10226.04280277802,796.4849376334502,7810.46186505528
695.0,0.5390625,10267.441111435173,762.0766775924951,8244.865544431064
700.0,0.5234375,10379.824775511861,738.124630649725,8458.313420730105
705.0,0.4765625,10248.600790401386,665.9414761330509,8702.889590484658
710.0,0.5625,10267.582473330189,654.8424708995232,8357.353503888568
715.0,0.5703125,10428.056572774956,744.088756492318,8480.347007789314
720.0,0.609375,10463.274750895433,811.5138346720146,8507.769853164864
725.0,0.5703125,10477.83686835143,761.2107642647144,8594.288926785164
730.0,0.609375,10625.260291471188,778.2524538132338,8426.831801165245
735.0,0.6328125,10543.29917089555,871.4474712889757,8094.091728930995
740.0,0.5625,10770.36783720636,765.147593118762,8483.405045022788
745.0,0.734375,10626.277601885806,809.5903632968864,8255.084125591602
750.0,0.59375,10666.00932476121,744.1492579530463,9107.854807435055
755.0,0.7421875,10761.620740490453,785.8025919943318,8505.07791481058
760.0,0.65625,10775.996634999085,822.7974022853792,8744.43888563187
765.0,0.75,10782.593109066314,770.1826311021438,9098.085476552718
770.0,0.6953125,10892.243540344818,922.4559040520707,8526.695338912723
775.0,0.6796875,10891.285097454387,848.0829332919417,8503.319632735227
780.0,0.6328125,10839.177314202354,805.2561392419873,8757.380902692843
785.0,0.7890625,10913.444697766892,811.9025781585442,8811.276833530901
790.0,0.7578125,11090.440594372532,837.8043422741063,9022.661391453541
795.0,0.734375,10924.555035768113,823.9036085695567,8857.265927005763
800.0,0.71875,10993.726090641134,877.4461550958179,9064.309878616674
805.0,0.7109375,11156.58209244789,937.8174661307668,8120.626572647285
810.0,0.84375,11013.957131163483,832.7253713971907,8748.771881335888
815.0,0.8203125,10998.676987668525,872.6729690932368,8928.219183899579
820.0,0.8359375,11001.076732041563,776.933687563228,9305.056398448258
825.0,0.796875,11203.987052917291,796.8811332467213,9304.548620105641
830.0,0.859375,11094.802972503063,879.7382995115314,8333.232445991016
835.0,0.8203125,11300.632645476537,895.5917429572709,8823.553499555652
840.0,0.890625,11261.979584191897,843.2506411971713,9377.011134851855
845.0,0.78125,11212.578620972341,858.3631217666306,9189.185566998865
850.0,0.859375,11207.184690601196,879.5100314027384,8995.168131261897
855.0,0.84375,11347.683178178044,829.3907162488787,8845.524436923246
860.0,0.8359375,11429.967634766605,860.2005560577165,9707.955717673263
865.0,0.875,11403.639802206006,994.8251867639951,8774.983685722924
870.0,0.90625,11476.188105661127,913.0004494753889,8753.190625332012
875.0,0.8828125,11313.6372878763,801.5555026510634,9552.61518982389
880.0,0.828125,11455.96494214066,957.9419802130678,8621.754128886176
885.0,0.8828125,11439.496716472822,1000.152965449945,9111.007421177863
890.0,0.9453125,11465.14496952994,926.0915588033018,9569.417948741822
895.0,0.875,11474.074086648556,962.5080275085802,8668.815452213079
900.0,0.8984375,11636.138650144996,924.6870381541037,9665.569573365377
905.0,0.9140625,11370.122679906945,945.349315754786,9106.295001406259
910.0,0.8828125,11573.360590746475,1008.8097311496332,8023.242444957257
915.0,0.921875,11684.540862686137,932.1427276319653,8964.474705290748
920.0,0.953125,11604.755737840773,976.4534972289423,8979.720053864454
925.0,0.96875,11568.609720833163,937.0311814971417,9030.979476833883
930.0,0.90625,11659.032076920234,922.5717293937189,9222.803020599305
935.0,0.9375,11589.986228829266,879.3378123292094,9385.90196313677
940.0,0.953125,11538.271701422496,991.1174210773136,9193.484872756904
945.0,0.9921875,11767.201115707836,896.8450633318193,9623.721606160092
950.0,0.9609375,11780.775346556617,1013.4829172905119,9292.751740131993
955.0,0.9375,11866.907646983314,970.6163753874384,9147.103922635142
960.0,0.96875,11676.957593224795,897.7860910549101,9928.791521211635
965.0,0.953125,11810.72665107831,1181.5518923443126,8668.733786931087
970.0,1.0,11815.398034922762,997.9688789446828,8947.879064912071
975.0,0.984375,11899.248104700173,984.3039268737148,9169.050283732882
980.0,0.984375,11963.04940621369,1067.215583781094,9012.589424824284
985.0,0.9765625,11954.305245035019,959.2517343402952,9661.622636807711
990.0,0.96875,11877.344824924487,1063.328215417641,8391.565653896949
995.0,0.9609375,11873.841491489746,950.3070676045345,9266.345132553368
