Relaxation Parameter A,Probability P_f,E_avg,E_std,E_min
5000.0,0.0703125,84551.5193676568,5655.803240250521,70329.85308965715
5050.0,0.109375,84652.35705658347,4658.2657194654885,72189.78893565357
5100.0,0.1171875,84688.09813868611,5037.869758770741,72728.8462480015
5150.0,0.1171875,86124.60536582315,5392.07582336738,72530.25405999739
5200.0,0.125,85138.223964656,5667.772211250295,72089.7707349078
5250.0,0.09375,87709.51834777599,5820.487234884386,75387.9679494666
5300.0,0.25,87198.55235459351,5872.681950651752,69953.00982446608
5350.0,0.1484375,87585.49151329209,5940.306232743568,71447.09486995227
5400.0,0.2578125,87337.71161707965,5363.66059003971,71419.20469913835
5450.0,0.171875,89197.23449669506,5444.650173375314,74313.83971837396
5500.0,0.1953125,88136.03317918837,5534.251986934522,75497.88390586633
5550.0,0.2890625,89630.96138069448,6172.9746005032475,73450.99405772149
5600.0,0.1875,90681.37813404045,6583.6561751373365,73102.6217981248
5650.0,0.2421875,90432.73934337447,6182.747148736552,73470.97962082748
5700.0,0.2734375,91405.25916465501,5890.0338737973925,74859.64535830531
5750.0,0.296875,91604.62799564133,5918.245124552019,75458.0689566253
5800.0,0.3125,91477.02834189773,5740.912462816426,76970.16586008447
5850.0,0.390625,91891.45491792988,6567.925947495376,75017.78370261565
5900.0,0.3359375,93023.51997969724,6769.770337509804,77919.6244791717
5950.0,0.390625,94627.50999764998,6965.786015786504,73851.56506396004
6000.0,0.3359375,93121.86172896782,6539.689070368369,67608.64567009296
6050.0,0.4765625,94285.1146768101,6898.833005341016,68981.02515451412
6100.0,0.4296875,94822.48268436642,6457.447107488423,81065.49961309088
6150.0,0.4453125,95510.79785109224,6579.418534417729,79963.15659883549
6200.0,0.421875,95531.69766563819,6843.05811952231,77903.01061583747
6250.0,0.53125,96322.2774518967,6409.580223889118,79268.97948168148
6300.0,0.53125,97135.37689608312,7389.370355604295,75102.82718317321
6350.0,0.5234375,97090.78741393414,7159.402155632481,78701.84958158975
6400.0,0.4765625,97960.87208877788,6577.669804615925,82145.56402099447
6450.0,0.515625,97956.80807373553,7720.951386095536,79234.61995513807
6500.0,0.453125,98996.00296382039,7263.589436883172,81995.56671208015
6550.0,0.5625,98557.64140394391,6829.755431512768,76985.40637742309
6600.0,0.640625,99187.1856925274,8433.073932309122,72227.65196309378
6650.0,0.6015625,101409.96044731504,7852.452414252462,82017.43003633327
6700.0,0.625,100962.57908152613,8078.439160439629,82504.60654705192
6750.0,0.5859375,101255.93040786269,7943.582922471774,82254.66394949064
6800.0,0.5859375,100459.24444375506,7753.551477092803,81693.08805608825
6850.0,0.5703125,101920.98185715343,7653.37797312234,81240.25104137906
6900.0,0.6640625,102500.05308854871,7414.732010164089,85457.01314263488
6950.0,0.640625,102328.6823165959,6780.673246838212,83699.18648126483
7000.0,0.65625,105037.33506510944,8192.07185324612,86562.5187650437
7050.0,0.609375,103447.46291092572,8463.037663966856,84396.21077388711
7100.0,0.6484375,104533.78165408802,8378.050196845323,83644.2621144118
7150.0,0.7109375,103777.65856355315,8559.064570362605,81328.62208838022
7200.0,0.5859375,104686.82574299231,9157.108950172462,84277.5348670684
7250.0,0.734375,104723.36892869006,8305.649961006444,84572.08620045893
7300.0,0.6796875,105875.26334190223,8435.774710363574,78576.631272597
7350.0,0.7109375,106442.49486767554,8261.993895410293,87722.83738762554
7400.0,0.765625,105902.80164212034,8300.28133995532,84674.5915711252
