Relaxation Parameter A,Probability P_f,E_avg,E_std,E_min
4375.0,0.0625,75592.60232978663,4427.150091438809,66558.74916212939
4418.75,0.078125,75969.88290791043,4622.918342055628,65139.884976380825
4462.5,0.1015625,76855.61651727738,4700.70990229823,64618.45729513414
4506.25,0.1328125,77735.8364051874,4792.6738149734,62522.42058534827
4550.0,0.1015625,77242.58347557225,5312.6046103622375,65301.1209514183
4593.75,0.0859375,77218.23766515349,4948.231476051085,63880.147443576716
4637.5,0.125,78462.96821063918,5265.355010891771,67959.44368802418
4681.25,0.125,78807.57480025734,4807.983735478255,67616.86086459912
4725.0,0.203125,79209.0354760858,4461.017720165467,69934.37065562222
4768.75,0.1484375,79426.9305649533,5182.489417217819,64950.630092983396
4812.5,0.2578125,79637.78702824145,5515.223617877834,63222.65131085616
4856.25,0.234375,80014.05046016783,5280.4406140435785,65575.91788122663
4900.0,0.3125,81794.65482673947,5451.381627400033,65762.02995107544
4943.75,0.265625,80584.53372571082,5221.476551270621,64585.3444556859
4987.5,0.1875,82114.62988886061,5192.307524148553,69464.1673089732
5031.25,0.265625,82210.95162693787,5307.991309899251,67323.77348214661
5075.0,0.296875,82298.12517879141,5537.632975534379,68842.36023738663
5118.75,0.2890625,82562.79251079811,5344.205410882881,69199.29850592866
5162.5,0.25,83124.21054391439,5889.134447096945,63009.50706121558
5206.25,0.3125,83352.58961012466,6179.956674725319,63568.9206967894
5250.0,0.2265625,83620.10717172193,6011.793110793635,69572.44247373455
5293.75,0.3515625,84835.31687718153,5758.225942709776,69744.07320564729
5337.5,0.3359375,85172.10769243211,6170.883693055297,70348.96300391649
5381.25,0.40625,85751.9296288954,6259.641222530134,72203.39780100193
5425.0,0.40625,85214.56541779084,6034.727806554814,68952.62648220678
5468.75,0.4375,86335.61628990604,6138.121262272916,70503.5746156812
5512.5,0.390625,86847.68520309798,6112.352828613756,73041.79449470839
5556.25,0.4453125,86659.25301345951,5982.954283504568,70722.97266511031
5600.0,0.4921875,87336.35601563298,6280.58093730534,73063.61864595412
5643.75,0.5234375,87478.17911594504,5740.828292343423,75042.87884980586
5687.5,0.5078125,87991.27162221212,6521.375595623974,70122.6701524803
5731.25,0.5703125,87924.88519877472,6310.655976276764,70433.56224828551
5775.0,0.4921875,89167.12487532888,6365.801413183233,69589.02800573793
5818.75,0.46875,88714.95092397885,6594.395746524256,74021.14229661389
5862.5,0.46875,89650.61771547943,6515.221925992688,76578.43809315789
5906.25,0.578125,90173.86892521476,6504.143767136739,70972.65587064519
5950.0,0.6015625,91067.69792768356,6812.374299625159,74505.21840621927
5993.75,0.6171875,90221.47804478325,6728.913501880617,71687.58790408343
6037.5,0.6015625,90386.54171711681,6536.009284626864,73524.71222564636
6081.25,0.546875,91199.2431461255,6930.968925113243,68166.18734499638
6125.0,0.5859375,91883.56664775318,6881.445561095383,75247.99807694432
6168.75,0.6484375,93058.84546977078,6355.061689430713,79160.98857148667
6212.5,0.6484375,93295.81742306404,6737.062128618057,76628.97577214753
6256.25,0.7265625,92868.55080085289,6725.769608993367,73933.48591048131
6300.0,0.6875,93904.80340918282,6825.700842144362,72088.27585230069
6343.75,0.6953125,94071.49963040787,8039.097302191447,71214.33621593635
6387.5,0.6640625,93992.02870153994,7175.155724057543,78524.71861848596
6431.25,0.71875,94694.95833757214,6742.518416833878,77971.73547277966
6475.0,0.71875,95042.30759876984,7685.110790268174,77030.73842191772
6518.75,0.7109375,95318.8335338888,7329.448923482046,76926.9149136917
6562.5,0.71875,96178.0820868928,7296.294100324713,80490.58885523747
6606.25,0.7421875,96453.87863763832,7948.215863540801,76085.55423933477
6650.0,0.796875,95326.13920809125,6972.321015946393,82492.49376918364
6693.75,0.703125,96102.47175521,7667.058113891362,72902.44484760263
6737.5,0.7265625,97030.75978210842,7779.534975393621,74845.00807328429
6781.25,0.796875,97685.96604736293,6572.103871346806,77012.54905279021
6825.0,0.8125,96432.01135020229,7275.827936673077,81149.37506346143
6868.75,0.7734375,98987.50631363025,6834.755790488671,83467.34103875712
6912.5,0.828125,98327.35970134854,8397.958717448868,80355.79135133995
6956.25,0.859375,98105.94226998602,8534.362106370243,79394.55655522854
7000.0,0.8046875,97766.57936986217,7146.918777209703,76447.61117716448
7043.75,0.7734375,98815.03676036088,7948.898862376344,73390.79952365009
7087.5,0.84375,99242.43123363935,7562.124644777482,77834.72773066215
7131.25,0.84375,99423.86943760225,8010.140382427372,75036.69901856699
7175.0,0.859375,100622.5245293428,8098.262300373977,79165.65134638984
7218.75,0.828125,99165.06216838794,8413.03076653029,80205.75329565653
7262.5,0.8671875,99599.52708991487,7968.54391270446,79453.50011645461
7306.25,0.8671875,101033.56248682225,8211.142163636503,80883.92846175516
7350.0,0.8359375,101061.86966384154,7378.563599153592,80473.19827663444
7393.75,0.828125,101671.0178106912,8107.737647119704,81806.49219726818
7437.5,0.859375,100714.18934331532,9037.400178986329,76179.79196746286
7481.25,0.875,102216.40829115492,7926.202772005325,84428.59190523211
