Relaxation Parameter A,Probability P_f,E_avg,E_std,E_min
4375.0,0.0625,71523.61410078392,4454.066383682272,60151.955430179485
4418.75,0.1015625,72835.00887506315,5246.3936671432175,58162.91693294086
4462.5,0.0546875,73141.19069102767,5288.473530018544,58215.41991298704
4506.25,0.15625,73112.22604980957,4897.704614325448,62007.10542825342
4550.0,0.171875,73761.2094555113,4844.099120724487,60079.95876914618
4593.75,0.140625,75002.51731983843,5072.687310192695,62912.193029033224
4637.5,0.1328125,75158.84749539313,5241.120491205691,62332.83550698648
4681.25,0.1640625,74978.13607134458,4596.510119262816,62849.316992808774
4725.0,0.203125,75535.43896864801,5314.5200289358945,64166.65792715654
4768.75,0.2109375,74879.4324384879,5576.901594167336,60449.29912343534
4812.5,0.2578125,75984.19986317988,4644.615459308239,65782.0215744173
4856.25,0.234375,76808.15608564082,5377.564030081909,61672.32836571033
4900.0,0.2421875,77616.60065725658,5623.678386548824,62722.80783059492
4943.75,0.2578125,77141.05523553272,5342.755743377118,62268.7278484159
4987.5,0.25,79330.18503828548,5921.574923675149,60150.71953118601
5031.25,0.28125,77195.06344546063,5445.718293389953,64364.911525938136
5075.0,0.2109375,79376.853904999,5974.758588424266,62710.945766373596
5118.75,0.328125,79834.23318271368,5957.365869231153,64247.02494863092
5162.5,0.3671875,79231.78913550984,6168.88795627816,62450.467027322535
5206.25,0.3671875,80760.61853777546,5795.497491509887,65249.94195632081
5250.0,0.3125,80627.80410455758,5549.711759114121,69105.48905851424
5293.75,0.3671875,80577.52608366632,6000.542529718652,67092.76049191278
5337.5,0.34375,81530.43978579207,5933.801548315642,65730.82515637064
5381.25,0.421875,82828.97750824268,6251.969886911691,64618.783287252794
5425.0,0.328125,82760.97081206812,6830.934158795155,63124.834703948756
5468.75,0.453125,82415.56787025974,6025.010518249769,65780.93579720001
5512.5,0.421875,83759.00811434971,6065.292030735305,69243.09263143328
5556.25,0.4375,84329.59057565362,6803.549889495603,64226.02130908356
5600.0,0.5234375,85118.3679926412,6528.846783270438,64011.57049895066
5643.75,0.4453125,85558.86645353834,6699.796747239124,68045.22670480085
5687.5,0.4453125,85417.17266926986,6984.4894992582485,68696.67880220042
5731.25,0.4375,86126.74475291166,6419.724609927472,71137.4271874497
5775.0,0.5625,86229.58933705643,6398.089180509248,68079.70138541737
5818.75,0.5703125,86043.80222061103,6989.1670500026585,70106.05565817328
5862.5,0.5234375,87388.65139318736,6495.856308463583,71817.11379539972
5906.25,0.6015625,88022.69716154506,6768.959075056703,67638.00490308739
5950.0,0.53125,87811.05633381492,6402.035043253325,73441.29285675264
5993.75,0.515625,88380.61333426565,6699.99756779874,73994.94541367405
6037.5,0.6640625,87496.93942459857,7086.696084464823,69222.05099027313
6081.25,0.5859375,88155.67466717244,7401.512549297815,71719.61514976481
6125.0,0.6015625,90654.05656523845,7215.309308110196,71415.83568574698
6168.75,0.6484375,89429.24808525725,6327.267240358066,72379.3919078479
6212.5,0.7109375,90107.998184137,8075.680462216791,66191.43885102542
