Relaxation Parameter A,Probability P_f,E_avg,E_std,E_min
4375.0,0.0234375,76001.08928002197,4524.149079057051,63045.47881441933
4418.75,0.015625,75621.94612496857,4899.982178752771,62891.026991781284
4462.5,0.0546875,76609.16384327204,4397.353245863954,64009.0712279806
4506.25,0.0859375,77049.39054888244,4928.304102045726,62604.109654286294
4550.0,0.046875,77199.31010683876,4496.071279726952,66164.67624007305
4593.75,0.0703125,77443.8030788152,4713.795981589653,66563.30474338398
4637.5,0.109375,78334.14381462196,4878.585573505404,66345.81984324814
4681.25,0.0546875,78692.71010058839,5210.365307466944,68143.30189910182
4725.0,0.1015625,78705.6447496273,5088.061132854898,67297.6951448369
4768.75,0.1015625,79079.98089112989,5305.8562203256915,60508.37839054564
4812.5,0.1015625,80058.24802381267,5347.005404826532,67425.72883127513
4856.25,0.15625,80557.68082497851,5323.087346733981,68397.51122304733
4900.0,0.1171875,80947.82805121486,4508.8069490969865,69078.96816739568
4943.75,0.1328125,81519.36428660963,5532.959496739809,67791.47510873192
4987.5,0.171875,80966.49933691091,5232.855437575375,65722.28182473543
5031.25,0.1640625,81507.38972316838,5697.019000753335,67042.66625804722
5075.0,0.1953125,82981.38848277186,5468.946711858665,67630.59123678436
5118.75,0.234375,83225.34491626537,5436.67634504414,68658.3145210132
5162.5,0.203125,83034.818760168,6243.20496335945,61924.69132198804
5206.25,0.171875,84762.63634272871,5580.631096534019,70703.83378424135
5250.0,0.171875,84197.32466254779,5729.689049136052,70267.06871180588
5293.75,0.3125,84356.46195870523,6096.802885035936,70083.12855775355
5337.5,0.2734375,84526.85354142929,5905.325107185686,68246.95031561842
5381.25,0.3046875,84962.74394204191,5766.132148981524,70246.59406556084
5425.0,0.25,84954.35104993002,5725.680113651496,71828.05322166841
5468.75,0.296875,85886.47296825188,5622.31205125354,68998.28682909592
5512.5,0.3359375,86780.24037087153,6270.005708533604,70990.16210100782
5556.25,0.3359375,86859.53740458096,5978.776783508683,71242.9445993217
5600.0,0.4375,86661.03510049502,5776.861754671315,73351.30796624237
5643.75,0.4140625,86606.74140265625,6437.599525166748,67107.11369485839
5687.5,0.3828125,87076.29000003735,6592.598798013916,66910.0599406694
5731.25,0.359375,88771.9248290794,5601.8402092064825,74075.79893613391
5775.0,0.4765625,88653.38783825829,6607.705962006968,70692.90294936206
5818.75,0.5078125,88461.4354557603,6418.796761497759,67141.00956865365
5862.5,0.46875,90124.87513243142,6315.573350355655,75402.28601998533
5906.25,0.4140625,89594.81012088354,5897.067661267652,77265.89340489119
5950.0,0.5078125,90747.39899780329,7154.42726346347,68750.49957895832
5993.75,0.4609375,91823.46184554855,5680.414606638084,80295.63929640519
6037.5,0.5625,91650.33326558219,6650.259251766259,74653.5864017653
6081.25,0.546875,92843.22203615659,7204.38340553205,74404.41772095195
6125.0,0.5234375,92603.46763281428,7274.509762255603,75655.72746572015
6168.75,0.578125,93631.04437673639,7102.70055585328,79508.69162548415
6212.5,0.5703125,92478.53901512033,6828.865160833924,76519.20230433787
6256.25,0.5390625,94901.00450000647,7793.343842181322,75455.22118895163
6300.0,0.546875,93726.8884332906,6813.489882431959,74249.06597702898
6343.75,0.546875,94225.14352359029,7226.6012237101795,75806.06113478943
6387.5,0.625,95004.17557137992,7432.795015133072,77848.60503171553
6431.25,0.625,95130.66679490262,6886.72606916737,80767.51603081648
6475.0,0.546875,96599.9250937486,7549.729305253654,78612.86947181402
