Relaxation Parameter A,Probability P_f,E_avg,E_std,E_min
500.0,0.046875,8164.673110970353,576.2901487469611,6803.397439449058
505.0,0.0703125,8312.198124602677,594.6059910763487,6510.977277188686
510.0,0.1171875,8323.439573050873,622.1144387902742,6849.569838635412
515.0,0.0546875,8291.504471735721,555.2611271493158,6818.416978737754
520.0,0.09375,8373.880786132431,572.7060578316268,6688.092445264629
525.0,0.078125,8399.694173033247,562.827652134195,6981.084206263131
530.0,0.1328125,8510.12828618375,547.6414750032687,6763.44684571592
535.0,0.078125,8508.411953618901,519.8995777350619,7188.378745706716
540.0,0.15625,8556.53366853905,632.510566514684,7289.299725783181
545.0,0.1875,8549.169392026317,626.251748638199,6850.438968237337
550.0,0.203125,8659.211631504773,659.6467058551615,7198.440891306967
555.0,0.1796875,8740.045535389498,567.4929760520419,7427.18194948203
560.0,0.1875,8753.200410031506,551.1609726066719,6975.166088452672
565.0,0.15625,8686.926259380472,598.47935192035,7338.871913665898
570.0,0.125,8869.849310893209,619.8150443822266,7359.616826259557
575.0,0.1328125,8827.68084109839,665.3838317518475,7352.659182918331
580.0,0.2109375,8991.468799785707,637.7147953942755,7679.402439869227
585.0,0.3203125,8935.125943055302,699.2429501973921,7287.421905762101
590.0,0.21875,9099.436773902486,661.8190302367434,7147.53190828572
595.0,0.203125,9112.687797850438,599.9360190186743,7713.512886616656
600.0,0.2265625,9063.002501976573,679.8446357007673,7193.071212588875
605.0,0.359375,9147.03133213609,666.7928323408231,7574.642066717446
610.0,0.34375,9193.012554711293,675.176163620049,7516.802812628819
615.0,0.3203125,9265.431409412156,686.5638857648488,7676.145447851417
620.0,0.3046875,9233.244672044977,635.4850046899619,7384.71166490046
625.0,0.4140625,9278.261116481377,783.951133988932,7392.890586090463
630.0,0.3828125,9313.628694378129,641.7303140521337,7876.927954908417
635.0,0.4375,9403.729805195197,660.7805359023555,7495.50507631007
640.0,0.4140625,9385.554386572461,753.272256224528,7479.384977601578
645.0,0.390625,9588.453023075708,670.923868636983,7609.116517409602
650.0,0.3359375,9580.714908564627,717.0347576000285,7465.838922876312
655.0,0.453125,9576.437970411782,652.4381497761212,7150.396806095152
660.0,0.453125,9579.105241874659,724.9462982228755,7857.482290185682
665.0,0.4375,9609.634784174876,780.1695411153449,7921.274075315709
670.0,0.515625,9711.741298928238,740.6695769669744,7916.271073061871
675.0,0.5,9836.060398705431,807.6304943129891,7774.859166509035
680.0,0.515625,9816.087213115912,712.2074209311683,8240.265461721392
685.0,0.5625,9793.759030645791,730.2005413451625,7619.30016623719
690.0,0.40625,9926.386435305329,731.958259245209,8132.84531804279
695.0,0.46875,9944.721997955969,714.1126814892338,8076.069179949052
700.0,0.59375,9919.900859560046,743.1514520312305,7780.787336693909
705.0,0.6171875,10136.661790837297,747.8354343384946,8187.813954541343
710.0,0.6015625,10120.421223088979,770.7929079509375,7848.656512500864
715.0,0.5625,10155.368074103884,845.3102868123766,8176.792669364317
720.0,0.6796875,10098.883989160306,794.4705168886916,8030.794765774488
